Round,Keyword,Success,Latency_ms,Step_Count,Quest_Types,Text_Length,TTR
1,싸우자,True,55678.34,4,"TALK,KILL,DUNGEON,TALK",454,0.9182
2,동굴,True,56032.58,5,"TALK,TALK,KILL,DUNGEON,TALK",672,0.8974
3,마법,True,54446.06,4,"TALK,KILL,DUNGEON,TALK",595,0.8696
4,하늘,True,52748.28,3,"TALK,KILL,TALK",374,0.9101
5,싸우자,True,61497.94,3,"TALK,KILL,TALK",380,0.8966
6,전설,True,62291.7,3,"TALK,DUNGEON,TALK",531,0.8615
7,싸우자,True,69927.78,3,"KILL,TALK,TALK",437,0.9796
8,전설,True,57243.47,3,"TALK,DUNGEON,TALK",449,0.8596
9,전설,True,55865.3,4,"TALK,KILL,DUNGEON,TALK",531,0.8538
10,숲,True,58087.97,4,"TALK,KILL,DUNGEON,TALK",482,0.9217
11,배고파,True,62698.02,3,"KILL,TALK,TALK",487,0.8919
12,복수,True,64942.43,3,"TALK,KILL,TALK",338,0.8537
13,배고파,True,48143.66,3,"KILL,TALK,TALK",378,0.8837
14,보물,True,69199.12,3,"TALK,DUNGEON,TALK",443,0.8692
15,숲,True,90505.31,3,"DUNGEON,TALK,TALK",390,0.9111
16,보물,True,56127.91,4,"TALK,KILL,DUNGEON,TALK",522,0.856
17,숲,True,68760.32,4,"DUNGEON,KILL,TALK,TALK",426,0.9247
18,비밀,True,56778.02,3,"TALK,DUNGEON,TALK",498,0.877
19,싸우자,True,63163.55,4,"TALK,KILL,DUNGEON,TALK",471,0.9483
20,마법,True,55828.57,4,"TALK,KILL,DUNGEON,TALK",570,0.903
